"","정류장","1004-1","1004","1005-1","1005","203-1","203","204-1","204","222-1","222","52","53","601-1","601","summ/stop"
"82","세종예술고등학교",NA,NA,NA,NA,2363,2176,53,3220,NA,NA,NA,NA,NA,NA,1953
"83","세종예술의전당",NA,NA,NA,NA,1494,1781,119,1605,NA,NA,NA,NA,NA,NA,1249.75
"84","세종우체국(보람초등학교)",NA,NA,NA,NA,NA,NA,NA,NA,417,3464,NA,NA,402,2121,1601
"85","세종장례식장입구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,376,518.5
"86","세종충남대병원",NA,NA,NA,NA,NA,NA,NA,NA,2994,1477,NA,NA,NA,NA,2235.5
"87","세종충남대학교병원(후문)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,1384,968
"88","소담동(새샘마을)",NA,NA,NA,NA,NA,NA,NA,NA,4182,9893,NA,NA,3704,7129,6227
"89","수루배마을1단지",NA,NA,NA,NA,NA,NA,NA,NA,137,3270,NA,NA,113,2522,1510.5
"90","수루배마을3단지",NA,NA,NA,NA,NA,NA,NA,NA,78,2147,NA,NA,89,1763,1019.25
"91","수루배마을4단지",NA,NA,NA,NA,NA,NA,NA,NA,37,2472,NA,NA,32,1874,1103.75
"92","수루배마을6단지",NA,NA,NA,NA,NA,NA,NA,NA,24,2806,NA,NA,56,2548,1358.5
"93","수루배마을8,9단지",NA,NA,NA,NA,NA,NA,NA,NA,44,914,NA,NA,6,1330,573.5
"94","실광주유소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3483,1503,2493
"95","아름동커뮤니티센터",NA,NA,NA,NA,NA,NA,NA,NA,12055,387,NA,NA,NA,NA,6221
"96","아름초등학교",4427,799,NA,NA,NA,NA,NA,NA,5545,503,NA,NA,NA,NA,2818.5
"97","양지중학교",NA,NA,NA,NA,NA,1152,NA,NA,NA,NA,NA,NA,NA,NA,1152
"98","양지중학교(한뜰마을1,2단지)",NA,NA,NA,NA,1080,NA,NA,740,2563,NA,875,NA,NA,NA,1314.5
"99","어진중학교(가재마을9단지)",NA,NA,NA,NA,1225,556,1402,816,2333,1792,NA,NA,NA,NA,1354
"100","연기리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7180,4439,5809.5
"101","연기면사무소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,NA,494
"102","열병합발전소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,171,NA,NA,122
"103","영평사입구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,202,NA,NA,113.5
"104","용포리",NA,NA,NA,NA,NA,NA,NA,NA,5556,5000,NA,NA,5417,6464,5609.25
"105","월하리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,536,608
"106","월하리(항공학교)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,983,859
"107","으뜸초등학교",238,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.5
"108","은용1리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,387,NA,NA,222.5
"109","은하수공원",NA,NA,1547,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776.5
"110","인사혁신처",NA,NA,NA,NA,1111,3068,7558,NA,NA,4983,NA,2399,9702,8102,5274.71428571429
"111","장군면복지회관",482,4,NA,NA,NA,NA,NA,NA,NA,NA,150,3,NA,NA,159.75
"112","장군면사무소",4211,21,NA,NA,NA,NA,NA,NA,NA,NA,2119,1371,NA,NA,1930.5
"113","장기중학교후문",577,3,NA,NA,NA,NA,NA,NA,NA,NA,78,169,NA,NA,206.75
"114","장기초등학교",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,367,NA,NA,184
"115","정부세종청사남측",NA,NA,NA,NA,1583,3869,5933,1284,7683,3320,340,3652,6737,9856,4425.7
"116","정부세종청사북측",NA,NA,NA,NA,1223,3701,6044,1452,NA,NA,353,1543,5062,4522,2987.5
"117","제3주차장",NA,NA,NA,NA,46,69,52,12,NA,NA,26,197,NA,NA,67
"118","조치원역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45066,114,22590
"119","조치원전통시장",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19004,150,9577
"120","종촌종합복지센터",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2061,1016,NA,NA,1538.5
"121","종촌초등학교(가재마을1,2단지)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3637,261,NA,NA,1949
"122","주택성능연구개발센터",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,37
"123","죽림리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5918,1451,3684.5
"124","첫마을1단지",NA,NA,3203,2157,NA,NA,927,3006,NA,NA,NA,NA,3239,8883,3569.16666666667
"125","첫마을3단지",986,2580,NA,NA,NA,NA,NA,NA,1320,2920,NA,NA,1361,2138,1884.16666666667
"126","첫마을4단지",1578,2706,NA,NA,NA,NA,NA,NA,1777,2906,327,380,2061,5648,2172.875
"127","첫마을5단지",3327,2766,NA,NA,NA,NA,NA,NA,2215,3763,168,757,2238,5823,2632.125
"128","첫마을6단지",5684,4550,NA,NA,NA,NA,NA,NA,3134,6077,613,1243,3757,9500,4319.75
"129","축산품질평가원",NA,NA,NA,NA,NA,NA,NA,NA,12489,323,NA,NA,NA,NA,6406
"130","충남대학교병원세종의원",NA,NA,NA,NA,997,NA,NA,NA,NA,NA,NA,NA,NA,NA,997
"131","한결초등학교",NA,NA,NA,NA,2443,598,NA,NA,NA,NA,NA,NA,NA,NA,1520.5
"132","한국조세재정연구원",NA,NA,NA,NA,NA,NA,NA,NA,315,1900,NA,NA,312,1076,900.75
"133","한뜰마을1,2단지",NA,NA,NA,NA,NA,1139,1749,NA,NA,4265,NA,NA,NA,NA,2384.33333333333
"134","한별리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1090,574
"135","한솔동(첫마을)",NA,NA,2372,2348,NA,NA,2016,4626,NA,NA,NA,NA,NA,NA,2840.5
"136","한솔중학교(첫마을7단지)",4342,4126,NA,NA,NA,NA,NA,NA,2976,5191,NA,NA,3374,6614,4437.16666666667
"137","해밀리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2950,4336,3643
"138","효성세종병원",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,154
